subject_id,condition,task,freq,emg_coh_arearate,emg_coh_med,emg_hp_coh_arearate,emg_hp_coh_med
P14,25g,12,3,3.391430484,0.928324775,3.45257755,0.928089513
P14,25g,12,4,2.633117608,0.917809987,2.501673734,0.912786334
P14,25g,180,1,2.556956223,0.934231673,3.27504011,0.937364893
P14,25g,180,2,2.792573917,0.935725499,3.362136145,0.937890201
P14,25g,180,3,3.27595691,0.931563842,3.455878982,0.925153122
P14,25g,180,4,2.490029796,0.915252183,2.352968141,0.907691328
P14,25g,180,1,3.606741573,0.949814503,3.017656501,0.945194481
P14,25g,180,2,3.420087136,0.933627875,3.031414813,0.938849448
P14,25g,180,3,3.04975923,0.93160565,3.142398532,0.927694272
P14,25g,180,4,2.616601697,0.918141933,2.655124971,0.919564486
P14,25g,90,1,3.734721289,0.943217808,3.094022834,0.942597375
P14,25g,90,2,3.396015223,0.937704454,3.382359525,0.932109775
P14,25g,90,3,3.18356839,0.930561127,3.264607119,0.927790704
P14,25g,90,4,2.742332662,0.920907516,2.52070741,0.907923039
P14,25g,90,1,3.042332613,0.943867795,3.511015119,0.948513587
P14,25g,90,2,3.140820734,0.934198463,3.224406048,0.928352861
P14,25g,90,3,3.30475162,0.931544513,3.40237581,0.929754111
P14,25g,90,4,2.788984881,0.92080774,2.624838013,0.91447443
P14,25g,90,1,2.450182914,0.936691627,3.49214547,0.943203606
P14,25g,90,2,3.316763503,0.929601785,3.33634603,0.931583396
P14,25g,90,3,3.219281257,0.927960569,3.511297611,0.926828984
P14,25g,90,4,2.79449107,0.918730118,2.60813428,0.917085386
P14,50g,0,1,4.181554878,0.945198077,5.283841463,0.949963112
P14,50g,0,2,3.722865854,0.937640368,3.920121951,0.933715066
P14,50g,0,3,3.52820122,0.92613723,3.519664634,0.92571059
P14,50g,0,4,2.589634146,0.917121809,2.645121951,0.912318628
P14,50g,0,1,4.257768053,0.948530696,4.974617068,0.950225719
P14,50g,0,2,3.643326039,0.930903313,4.214442013,0.935971862
P14,50g,0,3,3.625966448,0.936623892,3.459226842,0.925207826
P14,50g,0,4,2.732603939,0.918300362,2.67979577,0.909231511
P14,50g,12,1,4.379576951,0.943324223,3.38920496,0.934923111
P14,50g,12,2,3.451203501,0.930527684,3.750109409,0.933906161
P14,50g,12,3,3.377826404,0.927443934,3.753172867,0.927552537
P14,50g,12,4,2.736688549,0.917148303,2.76761488,0.91408464
P14,50g,12,1,3.883842926,0.942876293,3.601318945,0.936178739
P14,50g,12,2,3.316996403,0.930023643,3.424310552,0.926676126
P14,50g,12,3,2.932254197,0.919356064,3.453986811,0.926519015
P14,50g,12,4,2.543165468,0.919654463,2.670113909,0.910068769
P14,50g,12,1,3.798410967,0.941228855,3.176039882,0.932869643
P14,50g,12,2,3.648231812,0.937089921,3.568780184,0.935034447
P14,50g,12,3,3.370151114,0.926666001,3.631874124,0.927435649
P14,50g,12,4,2.565976009,0.911714064,2.66770525,0.914682399
P14,50g,180,1,3.662716635,0.934820846,3.423640942,0.929758497
P14,50g,180,2,3.508665383,0.932304402,3.42215968,0.932429831
P14,50g,180,3,3.15568064,0.922396172,3.45104429,0.924095216
P14,50g,180,4,2.568952748,0.91409557,2.650274033,0.907560239
P14,50g,90,1,4.173138686,0.944065469,3.980145985,0.940224015
P14,50g,90,2,3.742189781,0.933053455,3.690656934,0.927907097
P14,50g,90,3,3.678978102,0.932199241,3.633722628,0.923827162
P14,50g,90,4,2.515474453,0.913112377,2.683649635,0.914905724
P14,50g,90,1,3.497653959,0.933507862,3.716568915,0.937199689
P14,50g,90,2,3.353079179,0.928952111,3.459824047,0.922822736
P14,50g,90,3,3.512903226,0.930079629,3.228592375,0.922302895
P14,50g,90,4,2.780498534,0.922873159,2.668768328,0.908647512
P14,50g,90,1,3.446944404,0.938757062,4.220641603,0.944126893
P14,50g,90,2,3.772245609,0.933388116,3.709101466,0.926118031
P14,50g,90,3,3.529539846,0.929707813,3.506169255,0.92666962
P14,50g,90,4,2.849905647,0.918347074,2.856147481,0.917616136
P14,75g,0,1,4.309324226,0.936740499,5.419745421,0.956070531
P14,75g,0,2,3.90448101,0.933914194,3.908103074,0.937374744
P14,75g,0,3,3.95560385,0.935296424,3.645865673,0.926782707
P14,75g,0,4,2.747593915,0.914667547,2.793231916,0.913276267
P14,75g,0,1,4.041207927,0.935776176,5.896927755,0.95042362
P14,75g,0,2,4.13106847,0.935558367,3.909615183,0.931380721
P14,75g,0,3,3.864213065,0.931500884,3.438712383,0.923940721
P14,75g,0,4,2.705672643,0.914377337,2.708084303,0.913674727
P14,75g,12,1,4.257981868,0.940597467,4.056957036,0.92932791
P14,75g,12,2,3.647516752,0.9264198,3.728616476,0.926617739
P14,75g,12,3,3.560405991,0.924089879,3.534686638,0.920842713
P14,75g,12,4,2.690973591,0.913657753,2.706641703,0.911463427
P14,75g,12,1,4.228941909,0.932729022,3.676452282,0.932569618
P14,75g,12,2,3.427697095,0.924900447,3.665560166,0.924651829
P14,75g,12,3,3.295020747,0.916690164,3.554564315,0.921022132
P14,75g,12,4,2.583091286,0.912972637,2.676763485,0.912328216
P14,75g,12,1,3.904836032,0.934508554,3.178497302,0.932223381
P14,75g,12,2,3.73422582,0.926830559,3.795558323,0.927795784
P14,75g,12,3,3.397156496,0.92406586,3.54109589,0.925806546
P14,75g,12,4,2.671232877,0.912924858,2.694167704,0.910607207
P14,75g,180,1,4.033473212,0.932272286,3.39113887,0.931013408
P14,75g,180,2,3.595881721,0.92183046,3.416609739,0.922382105
P14,75g,180,3,3.392895482,0.922832879,3.552161608,0.922255138
P14,75g,180,4,2.619303211,0.912288715,2.667024495,0.910554029
P14,75g,180,1,4.216794948,0.940495682,3.280738109,0.92613244
P14,75g,180,2,3.512729426,0.9285603,3.709887507,0.925956128
